label,tag,final_embedding
Shoe Size To Range (If Range) - [ shoes ],13,
Shoe Size To Range (If Range) - [ shoes ],13.5,
Shoe Size To Range (If Range) - [ shoes ],14,
Shoe Size To Range (If Range) - [ shoes ],14.5,
Shoe Size To Range (If Range) - [ shoes ],15,
Shoe Size To Range (If Range) - [ shoes ],15.5,
Shoe Size To Range (If Range) - [ shoes ],16,
Shoe Size To Range (If Range) - [ shoes ],16.5,
Shoe Size To Range (If Range) - [ shoes ],17,
Shoe Size To Range (If Range) - [ shoes ],17.5,
Shoe Size To Range (If Range) - [ shoes ],18,
Shoe Size To Range (If Range) - [ shoes ],18.5,
Shoe Size To Range (If Range) - [ shoes ],19,
Shoe Size To Range (If Range) - [ shoes ],19.5,
Shoe Size To Range (If Range) - [ shoes ],20,
Shoe Size To Range (If Range) - [ shoes ],0 Months,
Shoe Size To Range (If Range) - [ shoes ],3 Months,
Shoe Size To Range (If Range) - [ shoes ],6 Months,
Shoe Size To Range (If Range) - [ shoes ],9 Months,
Shoe Size To Range (If Range) - [ shoes ],12 Months,
Shoe Size To Range (If Range) - [ shoes ],15 Months,
Shoe Size To Range (If Range) - [ shoes ],18 Months,
Shoe Size To Range (If Range) - [ shoes ],21 Months,
Shoe Size To Range (If Range) - [ shoes ],24 Months,
Shoe Size To Range (If Range) - [ shoes ],2 Years,
Shoe Size To Range (If Range) - [ shoes ],2.5 Years,
Shoe Size To Range (If Range) - [ shoes ],3 Years,
Shoe Size To Range (If Range) - [ shoes ],3.5 Years,
Shoe Size To Range (If Range) - [ shoes ],4 Years,
Shoe Size To Range (If Range) - [ shoes ],4.5 Years,
Shoe Size To Range (If Range) - [ shoes ],5 Years,
Shoe Size To Range (If Range) - [ shoes ],One Size,
Shoe Size To Range (If Range) - [ shoes ],3X-Small,
Shoe Size To Range (If Range) - [ shoes ],XX-Small,
Shoe Size To Range (If Range) - [ shoes ],X-Small,
Shoe Size To Range (If Range) - [ shoes ],Small,
Shoe Size To Range (If Range) - [ shoes ],Medium,
Shoe Size To Range (If Range) - [ shoes ],Large,
Shoe Size To Range (If Range) - [ shoes ],X-Large,
Shoe Size To Range (If Range) - [ shoes ],XX-Large,
Shoe Size To Range (If Range) - [ shoes ],3X-Large,
Shoe Size Gender (If Unisex) - [ shoes ],Women,
Shoe Size Gender (If Unisex) - [ shoes ],Men,
Shoe Size Width (If Unisex) - [ shoes ],Medium,
Shoe Size Width (If Unisex) - [ shoes ],Narrow,
Shoe Size Width (If Unisex) - [ shoes ],Wide,
Shoe Size Width (If Unisex) - [ shoes ],X-Narrow,
Shoe Size Width (If Unisex) - [ shoes ],X-Wide,
Shoe Size Width (If Unisex) - [ shoes ],XX-Narrow,
Shoe Size Width (If Unisex) - [ shoes ],XX-Wide,
Shoe Size Width (If Unisex) - [ shoes ],3X-Narrow,
